Classe,Métrique,Moyenne,Std,CI 95% lo,CI 95% hi
rest_inactive,GaitScore,0.3322,0.0182,0.3283,0.3356
rest_inactive,JudgeAcc (DeepConvLSTM),0.7627,0.0659,0.7500,0.7750
rest_inactive,JudgeConf (DeepConvLSTM),0.8187,0.0278,0.8135,0.8243
rest_inactive,JudgeAcc (CNNSimple),0.7537,0.0843,0.7367,0.7703
rest_inactive,JudgeConf (CNNSimple),0.7803,0.0300,0.7742,0.7859
rest_inactive,JudgeAcc (MLPSimple),0.4073,0.0777,0.3920,0.4223
rest_inactive,JudgeConf (MLPSimple),0.7152,0.0310,0.7092,0.7214
walk,GaitScore,0.3863,0.0200,0.3824,0.3903
walk,JudgeAcc (DeepConvLSTM),0.2300,0.0742,0.2157,0.2447
walk,JudgeConf (DeepConvLSTM),0.8165,0.0290,0.8109,0.8220
walk,JudgeAcc (CNNSimple),0.3463,0.0893,0.3287,0.3640
walk,JudgeConf (CNNSimple),0.7559,0.0290,0.7503,0.7614
walk,JudgeAcc (MLPSimple),0.6577,0.0887,0.6410,0.6753
walk,JudgeConf (MLPSimple),0.7471,0.0275,0.7418,0.7524
run_jog,GaitScore,0.3161,0.0213,0.3120,0.3201
run_jog,JudgeAcc (DeepConvLSTM),0.1363,0.0613,0.1243,0.1487
run_jog,JudgeConf (DeepConvLSTM),0.7219,0.0415,0.7142,0.7303
run_jog,JudgeAcc (CNNSimple),0.1037,0.0562,0.0930,0.1147
run_jog,JudgeConf (CNNSimple),0.7216,0.0321,0.7151,0.7279
run_jog,JudgeAcc (MLPSimple),0.2827,0.0929,0.2657,0.3017
run_jog,JudgeConf (MLPSimple),0.5836,0.0260,0.5784,0.5887
stairs,GaitScore,0.3458,0.0212,0.3418,0.3499
stairs,JudgeAcc (DeepConvLSTM),0.1093,0.0523,0.0993,0.1200
stairs,JudgeConf (DeepConvLSTM),0.7283,0.0326,0.7217,0.7347
stairs,JudgeAcc (CNNSimple),0.0590,0.0397,0.0513,0.0667
stairs,JudgeConf (CNNSimple),0.6470,0.0282,0.6415,0.6521
stairs,JudgeAcc (MLPSimple),0.0457,0.0339,0.0390,0.0523
stairs,JudgeConf (MLPSimple),0.6538,0.0327,0.6474,0.6601
